health5_signer1_rep1_glosses/glosses0000 | ΓΕΙΑ
health5_signer1_rep1_glosses/glosses0001 | ΕΓΩ
health5_signer1_rep1_glosses/glosses0002 | ΜΠΟΡΩ
health5_signer1_rep1_glosses/glosses0003 | ΕΞΥΠΗΡΕΤΩ
health5_signer1_rep1_glosses/glosses0004 | ΠΩΣ;
health5_signer1_rep1_glosses/glosses0005 | ΕΓΩ
health5_signer1_rep1_glosses/glosses0006 | ΘΕΛΩ
health5_signer1_rep1_glosses/glosses0007 | ΡΑΝΤΕΒΟΥ
health5_signer1_rep1_glosses/glosses0008 | ΓΙΑ
health5_signer1_rep1_glosses/glosses0009 | ΥΠΕΡΗΧΟΣ_ΚΟΙΛΙΑ
health5_signer1_rep1_glosses/glosses0010 | ΕΣΥ
health5_signer1_rep1_glosses/glosses0011 | ΕΧΩ
health5_signer1_rep1_glosses/glosses0012 | ΧΑΡΤΙ
health5_signer1_rep1_glosses/glosses0013 | ΓΙΑΤΡΟΣ
health5_signer1_rep1_glosses/glosses0014 | ΕΝΤΟΛΗ
health5_signer1_rep1_glosses/glosses0015 | ΕΧΩ
health5_signer1_rep1_glosses/glosses0016 | ΝΑΙ
health5_signer1_rep1_glosses/glosses0017 | ΓΙΑΤΡΟΣ
health5_signer1_rep1_glosses/glosses0018 | ΕΙΔΙΚΟ
health5_signer1_rep1_glosses/glosses0019 | ΚΟΙΛΙΑ
health5_signer1_rep1_glosses/glosses0020 | ΕΣΥ
health5_signer1_rep1_glosses/glosses0021 | ΑΣΦΑΛΕΙΑ
health5_signer1_rep1_glosses/glosses0022 | ΕΧΩ
health5_signer1_rep1_glosses/glosses0023 | ΕΓΩ
health5_signer1_rep1_glosses/glosses0024 | ΑΣΦΑΛΕΙΑ
health5_signer1_rep1_glosses/glosses0025 | ΕΝΣΗΜΑ
health5_signer1_rep1_glosses/glosses0026 | ΙΚΑ
health5_signer1_rep1_glosses/glosses0027 | ΕΧΩ
health5_signer1_rep1_glosses/glosses0028 | ΡΑΝΤΕΒΟΥ
health5_signer1_rep1_glosses/glosses0029 | ΔΕΥΤΕΡΑ
health5_signer1_rep1_glosses/glosses0030 | ΠΡΩΙ
health5_signer1_rep1_glosses/glosses0031 | ΕΣΥ
health5_signer1_rep1_glosses/glosses0032 | ΑΝΕΤΟ
health5_signer1_rep1_glosses/glosses0033 | ΕΓΩ
health5_signer1_rep1_glosses/glosses0034 | ΘΕΛΩ
health5_signer1_rep1_glosses/glosses0035 | ΜΕΣΗΜΕΡΙ
health5_signer1_rep1_glosses/glosses0036 | ΚΑΛΟ
health5_signer1_rep1_glosses/glosses0037 | ΕΣΥ
health5_signer1_rep1_glosses/glosses0038 | ΠΡΩΙ
health5_signer1_rep1_glosses/glosses0039 | ΤΡΩΩ
health5_signer1_rep1_glosses/glosses0040 | ΠΙΝΩ
health5_signer1_rep1_glosses/glosses0041 | ΤΙΠΟΤΑ
health5_signer1_rep1_glosses/glosses0042 | ΕΝΤΑΞΕΙ
health5_signer1_rep1_glosses/glosses0043 | ΕΣΥ
